"chromosome"	"transcript_start"	"transcript_end"	"name"
1	529367	530008	LOC_Os01g01980
1	533786	534139	LOC_Os01g01990
1	537710	543355	LOC_Os01g02000
1	542987	544510	LOC_Os01g02010
1	549108	553287	LOC_Os01g02020
1	562056	572138	LOC_Os01g02050
1	576443	579569	LOC_Os01g02060
1	585963	586445	LOC_Os01g02070
1	586414	587780	LOC_Os01g02080
1	588863	593759	LOC_Os01g02090
1	603643	605643	LOC_Os01g02110
1	612564	615650	LOC_Os01g02120
1	620572	621516	LOC_Os01g02130
1	624087	624613	LOC_Os01g02139
1	625976	627024	LOC_Os01g02150
1	632093	632913	LOC_Os01g02160
1	634011	639309	LOC_Os01g02170
1	640588	644269	LOC_Os01g02180
1	645574	646723	LOC_Os01g02190
1	648128	651881	LOC_Os01g02200
1	689792	694013	LOC_Os01g02250
1	700533	705670	LOC_Os01g02270
1	707340	714322	LOC_Os01g02280
1	720629	723317	LOC_Os01g02290
1	723693	726321	LOC_Os01g02300
1	728977	730930	LOC_Os01g02310
1	731149	738020	LOC_Os01g02320
1	738281	741794	LOC_Os01g02334
1	742272	745156	LOC_Os01g02350
1	745452	748945	LOC_Os01g02360
1	752080	754992	LOC_Os01g02370
1	767169	769681	LOC_Os01g02390
1	770332	773851	LOC_Os01g02400
1	774727	779237	LOC_Os01g02410
1	781442	784424	LOC_Os01g02420
1	786171	788619	LOC_Os01g02430
1	789967	792411	LOC_Os01g02440
1	794499	795413	LOC_Os01g02460
1	796842	797533	LOC_Os01g02470
1	804084	806932	LOC_Os01g02490
1	807850	809721	LOC_Os01g02500
1	839809	842757	LOC_Os01g02550
1	843530	847454	LOC_Os01g02560
1	852249	854568	LOC_Os01g02570
1	857957	860583	LOC_Os01g02580
1	862579	865253	LOC_Os01g02590
1	865966	869063	LOC_Os01g02600
1	870318	874817	LOC_Os01g02610
1	911735	914246	LOC_Os01g02680
1	915639	919674	LOC_Os01g02690
1	920992	923630	LOC_Os01g02700
1	924451	925175	LOC_Os01g02710
1	929883	934914	LOC_Os01g02720
1	935574	938367	LOC_Os01g02730
1	954075	956817	LOC_Os01g02750
1	957907	960626	LOC_Os01g02760
1	961681	965151	LOC_Os01g02770
1	969308	973327	LOC_Os01g02780
1	976766	980431	LOC_Os01g02790
1	984301	986760	LOC_Os01g02800
1	987591	990647	LOC_Os01g02810
1	994710	997262	LOC_Os01g02830
1	997963	1000997	LOC_Os01g02840
1	1001292	1001770	LOC_Os01g02850
1	1002459	1007068	LOC_Os01g02860
1	1010259	1012410	LOC_Os01g02870
1	1016065	1019545	LOC_Os01g02880
1	1046604	1053166	LOC_Os01g02890
1	1057137	1059856	LOC_Os01g02900
1	1066448	1069826	LOC_Os01g02910
1	1071962	1075030	LOC_Os01g02920
1	1078511	1081702	LOC_Os01g02930
1	1089743	1093528	LOC_Os01g02940
1	1097580	1098942	LOC_Os01g02950
1	1103782	1106890	LOC_Os01g02960
1	1120319	1126749	LOC_Os01g02980
1	1137241	1137624	LOC_Os01g02990
1	1143557	1144497	LOC_Os01g03010
1	1145829	1155094	LOC_Os01g03020
1	1155213	1158601	LOC_Os01g03030
1	1160152	1164635	LOC_Os01g03040
1	1165737	1168415	LOC_Os01g03050
1	1168647	1171130	LOC_Os01g03060
1	1181158	1182158	LOC_Os01g03080
1	1183394	1186707	LOC_Os01g03090
1	1186260	1191013	LOC_Os01g03100
1	1198687	1203506	LOC_Os01g03110
1	1217006	1218122	LOC_Os01g03130
1	1222905	1230507	LOC_Os01g03144
1	1232473	1236942	LOC_Os01g03160
1	1238623	1242351	LOC_Os01g03170
1	1254028	1255635	LOC_Os01g03190
1	1264356	1265273	LOC_Os01g03210
1	1301527	1302921	LOC_Os01g03220
1	1313236	1314274	LOC_Os01g03240
1	1315268	1315477	LOC_Os01g03250
1	1315823	1319863	LOC_Os01g03260
1	1328172	1329169	LOC_Os01g03270
1	1330804	1332398	LOC_Os01g03280
1	1333752	1334739	LOC_Os01g03290
1	1335864	1337407	LOC_Os01g03300
1	1338229	1339139	LOC_Os01g03310
1	1341319	1342277	LOC_Os01g03320
1	1344557	1346419	LOC_Os01g03330
1	1347567	1348786	LOC_Os01g03340
1	1350820	1351107	LOC_Os01g03350
1	1353629	1354802	LOC_Os01g03360
1	1356601	1361257	LOC_Os01g03370
1	1363516	1364303	LOC_Os01g03380
1	1365508	1366503	LOC_Os01g03390
1	1368891	1369792	LOC_Os01g03400
1	1372963	1374138	LOC_Os01g03410
1	1375169	1377242	LOC_Os01g03420
1	1379691	1382143	LOC_Os01g03429
1	1395980	1396769	LOC_Os01g03464
1	1401504	1403598	LOC_Os01g03480
1	1404155	1407187	LOC_Os01g03490
1	1410987	1413093	LOC_Os01g03500
1	1413839	1419043	LOC_Os01g03510
1	1421693	1428049	LOC_Os01g03520
1	1433033	1436811	LOC_Os01g03530
1	1437163	1445689	LOC_Os01g03549
1	1446849	1450473	LOC_Os01g03570
1	1486400	1488897	LOC_Os01g03620
1	1490473	1492684	LOC_Os01g03630
1	1497240	1500609	LOC_Os01g03640
1	1503993	1508057	LOC_Os01g03650
1	1508235	1512752	LOC_Os01g03660
1	1513136	1514467	LOC_Os01g03670
1	1515837	1516832	LOC_Os01g03680
1	1518245	1521644	LOC_Os01g03690
1	1534135	1539627	LOC_Os01g03710
1	1549229	1551011	LOC_Os01g03720
1	1566138	1569472	LOC_Os01g03730
1	1562612	1566554	LOC_Os01g03740
1	1569585	1570939	LOC_Os01g03750
1	1571420	1576753	LOC_Os01g03760
1	1580843	1582345	LOC_Os01g03770
1	1597486	1598510	LOC_Os01g03810
1	1597486	1604610	LOC_Os01g03820
1	1625159	1626771	LOC_Os01g03840
1	1641234	1644237	LOC_Os01g03870
1	1657315	1658388	LOC_Os01g03890
1	1670322	1670997	LOC_Os01g03900
1	1673010	1680632	LOC_Os01g03914
1	1681410	1681813	LOC_Os01g03930
1	1684741	1685880	LOC_Os01g03940
1	1698203	1703090	LOC_Os01g03950
1	1707539	1707939	LOC_Os01g03960
1	1710239	1710550	LOC_Os01g03970
1	1711930	1712947	LOC_Os01g03980
1	1718965	1719370	LOC_Os01g03989
1	1731553	1731945	LOC_Os01g04000
1	1733867	1738307	LOC_Os01g04005
1	1738965	1739492	LOC_Os01g04010
1	1746416	1748549	LOC_Os01g04020
1	1754332	1757728	LOC_Os01g04030
1	1757812	1758730	LOC_Os01g04040
1	1760140	1761135	LOC_Os01g04050
1	1765034	1768669	LOC_Os01g04070
1	1771369	1772410	LOC_Os01g04080
1	1775917	1778105	LOC_Os01g04090
1	1781075	1782386	LOC_Os01g04100
1	1787870	1791498	LOC_Os01g04110
1	1801924	1806267	LOC_Os01g04120
1	1815769	1817554	LOC_Os01g04130
1	1834110	1837733	LOC_Os01g04160
1	1838170	1839194	LOC_Os01g04170
1	1843814	1849186	LOC_Os01g04190
1	1849834	1856303	LOC_Os01g04200
1	1857104	1858452	LOC_Os01g04210
1	1864478	1866109	LOC_Os01g04220
1	1867936	1870390	LOC_Os01g04230
1	1876913	1879903	LOC_Os01g04250
1	1888524	1892298	LOC_Os01g04260
1	1897077	1897316	LOC_Os01g04270
1	1902736	1905247	LOC_Os01g04280
1	1906978	1909667	LOC_Os01g04290
1	1912561	1915094	LOC_Os01g04300
1	1928166	1930290	LOC_Os01g04324
1	1930994	1931904	LOC_Os01g04330
1	1934117	1935048	LOC_Os01g04340
1	1941003	1941953	LOC_Os01g04350
1	1944247	1945035	LOC_Os01g04360
1	1948737	1949587	LOC_Os01g04370
1	1951928	1952771	LOC_Os01g04380
1	1955148	1955925	LOC_Os01g04390
1	1957777	1967451	LOC_Os01g04409
1	1968323	1970538	LOC_Os01g04430
1	1973699	1977191	LOC_Os01g04440
1	1977423	1982484	LOC_Os01g04450
1	1984267	1986394	LOC_Os01g04460
1	1988731	1991248	LOC_Os01g04470
1	1993515	1996857	LOC_Os01g04480
1	1998427	2002855	LOC_Os01g04490
1	2003219	2003916	LOC_Os01g04500
1	2006152	2007254	LOC_Os01g04510
1	2014821	2018057	LOC_Os01g04520
1	2021415	2022167	LOC_Os01g04530
1	2023879	2026177	LOC_Os01g04540
1	2036118	2038198	LOC_Os01g04550
1	2041300	2042770	LOC_Os01g04560
1	2048717	2052521	LOC_Os01g04570
1	2053583	2057638	LOC_Os01g04580
1	2059309	2062277	LOC_Os01g04590
1	2063612	2066083	LOC_Os01g04600
1	2068588	2069263	LOC_Os01g04610
1	2074753	2077903	LOC_Os01g04630
1	2080105	2081540	LOC_Os01g04640
1	2083681	2087226	LOC_Os01g04650
1	2097192	2100694	LOC_Os01g04660
1	2101874	2102672	LOC_Os01g04670
1	2108947	2109635	LOC_Os01g04690
1	2111026	2111651	LOC_Os01g04699
1	2120381	2122366	LOC_Os01g04710
1	2130798	2137310	LOC_Os01g04720
1	2137763	2138996	LOC_Os01g04730
1	2140865	2142091	LOC_Os01g04740
1	2154326	2155994	LOC_Os01g04750
1	2162723	2162971	LOC_Os01g04760
1	2202264	2203860	LOC_Os01g04800
1	2215586	2222837	LOC_Os01g04814
1	2224683	2225060	LOC_Os01g04830
1	2226000	2229526	LOC_Os01g04840
1	2245732	2250576	LOC_Os01g04860
1	2250820	2255073	LOC_Os01g04870
1	2265477	2271051	LOC_Os01g04900
1	2271163	2273757	LOC_Os01g04910
1	2275067	2278872	LOC_Os01g04920
1	2281534	2285053	LOC_Os01g04930
1	2292111	2298407	LOC_Os01g04950
1	2328624	2328856	LOC_Os01g04970
1	2349919	2353502	LOC_Os01g04990
1	2356183	2357045	LOC_Os01g05000
1	2357769	2360444	LOC_Os01g05010
1	2361799	2363814	LOC_Os01g05020
1	2369529	2371316	LOC_Os01g05040
1	2372323	2374066	LOC_Os01g05050
1	2374472	2376768	LOC_Os01g05060
1	2377322	2377980	LOC_Os01g05064
1	2378810	2382690	LOC_Os01g05070
1	2383530	2385638	LOC_Os01g05080
1	2386373	2388611	LOC_Os01g05090
1	2388208	2390483	LOC_Os01g05100
1	2393480	2398292	LOC_Os01g05105
1	2400945	2402884	LOC_Os01g05120
1	2403270	2405982	LOC_Os01g05130
1	2406438	2408067	LOC_Os01g05140
1	2414271	2415072	LOC_Os01g05150
1	2419659	2420162	LOC_Os01g05160
1	2422242	2422914	LOC_Os01g05170
1	2434793	2438774	LOC_Os01g05180
1	2448716	2449048	LOC_Os01g05210
1	2452591	2453586	LOC_Os01g05220
1	2474556	2475156	LOC_Os01g05250
1	2478076	2480001	LOC_Os01g05260
1	2487387	2487986	LOC_Os01g05280
1	2488387	2491433	LOC_Os01g05289
1	2498269	2498740	LOC_Os01g05300
1	2500280	2501249	LOC_Os01g05310
1	2514678	2515682	LOC_Os01g05330
1	2520384	2522110	LOC_Os01g05340
1	2529389	2532475	LOC_Os01g05350
1	2535300	2535680	LOC_Os01g05360
1	2542013	2542732	LOC_Os01g05380
1	2547915	2548298	LOC_Os01g05390
1	2550946	2552121	LOC_Os01g05400
1	2553620	2554021	LOC_Os01g05410
1	2560858	2565373	LOC_Os01g05420
1	2568051	2570029	LOC_Os01g05430
1	2570072	2571997	LOC_Os01g05440
1	2573049	2574201	LOC_Os01g05450
1	2575583	2578210	LOC_Os01g05460
1	2579552	2583575	LOC_Os01g05470
1	2584986	2589023	LOC_Os01g05480
1	2589537	2593641	LOC_Os01g05490
1	2599850	2612865	LOC_Os01g05500
1	2613656	2623196	LOC_Os01g05510
1	2629374	2630050	LOC_Os01g05520
1	2632554	2638081	LOC_Os01g05530
1	2640937	2644665	LOC_Os01g05540
1	2651134	2651589	LOC_Os01g05550
1	2652648	2655639	LOC_Os01g05560
1	2660822	2661301	LOC_Os01g05570
1	2663539	2664072	LOC_Os01g05580
1	2665412	2666458	LOC_Os01g05585
1	2669952	2672924	LOC_Os01g05600
1	2674400	2675373	LOC_Os01g05610
1	2682019	2684988	LOC_Os01g05620
1	2686729	2687700	LOC_Os01g05630
1	2688623	2692186	LOC_Os01g05640
1	2693134	2695085	LOC_Os01g05650
1	2698928	2704553	LOC_Os01g05660
1	2707498	2711428	LOC_Os01g05670
1	2713412	2716075	LOC_Os01g05680
1	2719212	2720873	LOC_Os01g05694
1	2722518	2724797	LOC_Os01g05710
1	2728135	2730972	LOC_Os01g05720
1	2742507	2747439	LOC_Os01g05744
1	2752218	2753012	LOC_Os01g05760
1	2753790	2757078	LOC_Os01g05770
1	2765773	2768644	LOC_Os01g05790
1	2770140	2774609	LOC_Os01g05800
1	2776973	2781775	LOC_Os01g05810
1	2783189	2790454	LOC_Os01g05820
1	2791224	2795865	LOC_Os01g05830
1	2800436	2803742	LOC_Os01g05840
1	2803779	2804844	LOC_Os01g05850
1	2805584	2808152	LOC_Os01g05860
1	2810313	2815017	LOC_Os01g05870
1	2815175	2816401	LOC_Os01g05880
1	2817650	2818897	LOC_Os01g05890
1	2820036	2838580	LOC_Os01g05900
1	2830325	2836425	LOC_Os01g05940
1	2839934	2843514	LOC_Os01g05960
1	2844429	2858134	LOC_Os01g05970
1	2851954	2855225	LOC_Os01g05980
1	2862560	2867272	LOC_Os01g06000
1	2872110	2872988	LOC_Os01g06010
1	2877647	2882686	LOC_Os01g06020
1	2885425	2886301	LOC_Os01g06030
1	2887060	2888434	LOC_Os01g06040
1	2892920	2894707	LOC_Os01g06050
1	2896685	2898069	LOC_Os01g06060
1	2899038	2899896	LOC_Os01g06070
1	2901602	2903619	LOC_Os01g06080
1	2907052	2907920	LOC_Os01g06090
1	2920425	2921319	LOC_Os01g06120
1	2922643	2925024	LOC_Os01g06130
1	2925935	2928765	LOC_Os01g06140
1	2930802	2932892	LOC_Os01g06150
1	2954514	2955504	LOC_Os01g06210
1	2957066	2958443	LOC_Os01g06220
1	2961194	2961469	LOC_Os01g06230
1	2962422	2964917	LOC_Os01g06240
1	2966324	2967346	LOC_Os01g06250
1	2969154	2970731	LOC_Os01g06260
1	2971125	2979313	LOC_Os01g06270
1	2982483	2986968	LOC_Os01g06280
1	2985356	2989299	LOC_Os01g06290
1	2999576	3001204	LOC_Os01g06310
1	3003658	3005728	LOC_Os01g06320
1	3013892	3014751	LOC_Os01g06340
1	3015845	3016417	LOC_Os01g06350
1	3025830	3026390	LOC_Os01g06370
1	3026813	3028081	LOC_Os01g06380
1	3030594	3031163	LOC_Os01g06390
1	3031479	3033009	LOC_Os01g06400
1	3034228	3034788	LOC_Os01g06410
1	3035059	3035691	LOC_Os01g06420
1	3036471	3037289	LOC_Os01g06430
1	3037689	3039157	LOC_Os01g06440
1	3039298	3041232	LOC_Os01g06450
1	3041412	3044348	LOC_Os01g06454
1	3044483	3047221	LOC_Os01g06460
1	3047504	3051989	LOC_Os01g06470
1	3054465	3057198	LOC_Os01g06490
1	3058543	3059717	LOC_Os01g06500
1	3060994	3066189	LOC_Os01g06510
1	3067323	3071243	LOC_Os01g06520
1	3083395	3084568	LOC_Os01g06540
1	3085406	3090887	LOC_Os01g06550
1	3091123	3092865	LOC_Os01g06560
1	3095210	3095930	LOC_Os01g06570
1	3097346	3098527	LOC_Os01g06580
1	3099428	3105235	LOC_Os01g06590
1	3108117	3113963	LOC_Os01g06600
1	3122888	3124069	LOC_Os01g06620
1	3124351	3125325	LOC_Os01g06630
1	3128992	3130722	LOC_Os01g06640
1	3136104	3140217	LOC_Os01g06660
1	3143601	3146812	LOC_Os01g06670
1	3176544	3179602	LOC_Os01g06720
1	3181950	3185346	LOC_Os01g06730
1	3188757	3190330	LOC_Os01g06740
1	3196986	3200010	LOC_Os01g06750
1	3201223	3204252	LOC_Os01g06760
1	3222303	3226257	LOC_Os01g06790
1	3235987	3237799	LOC_Os01g06820
1	3241127	3243315	LOC_Os01g06836
1	3251204	3252724	LOC_Os01g06870
1	3256822	3257901	LOC_Os01g06876
1	3257944	3258893	LOC_Os01g06882
1	3259438	3262454	LOC_Os01g06890
1	3272839	3276416	LOC_Os01g06900
1	3277305	3277805	LOC_Os01g06910
1	3282976	3286357	LOC_Os01g06920
1	3288323	3288890	LOC_Os01g06940
1	3289733	3290197	LOC_Os01g06950
1	3290761	3291611	LOC_Os01g06960
1	3292985	3293489	LOC_Os01g06970
1	3294624	3295212	LOC_Os01g06980
1	3297850	3298410	LOC_Os01g06990
1	3300442	3301010	LOC_Os01g07000
1	3303523	3304092	LOC_Os01g07010
1	3306319	3306894	LOC_Os01g07020
1	3312462	3313273	LOC_Os01g07030
1	3315002	3315609	LOC_Os01g07040
1	3317554	3318111	LOC_Os01g07050
1	3320451	3321035	LOC_Os01g07060
1	3332952	3336075	LOC_Os01g07090
1	3336408	3342886	LOC_Os01g07100
1	3345203	3355066	LOC_Os01g07110
1	3356383	3361204	LOC_Os01g07120
1	3358521	3360676	LOC_Os01g07130
1	3361963	3367663	LOC_Os01g07140
1	3376593	3377205	LOC_Os01g07150
1	3380727	3382058	LOC_Os01g07160
1	3386907	3390756	LOC_Os01g07170
1	3391757	3393011	LOC_Os01g07180
1	3395762	3396310	LOC_Os01g07190
1	3397337	3400518	LOC_Os01g07200
1	3401288	3407358	LOC_Os01g07212
1	3414659	3415986	LOC_Os01g07240
1	3422011	3425559	LOC_Os01g07250
1	3425737	3429654	LOC_Os01g07260
1	3431606	3435618	LOC_Os01g07280
1	3445159	3446607	LOC_Os01g07300
1	3446936	3450222	LOC_Os01g07310
1	3455254	3456059	LOC_Os01g07320
1	3456200	3464954	LOC_Os01g07330
1	3465634	3467520	LOC_Os01g07340
1	3473760	3477924	LOC_Os01g07360
1	3478537	3478980	LOC_Os01g07364
1	3479338	3484579	LOC_Os01g07370
1	3489310	3491991	LOC_Os01g07376
1	3493219	3496598	LOC_Os01g07382
1	3501094	3504833	LOC_Os01g07390
1	3505665	3510531	LOC_Os01g07400
1	3511835	3515902	LOC_Os01g07410
1	3516658	3519175	LOC_Os01g07420
1	3520778	3521976	LOC_Os01g07430
1	3532859	3533749	LOC_Os01g07450
1	3536083	3536467	LOC_Os01g07460
1	3540841	3541272	LOC_Os01g07470
1	3551044	3553146	LOC_Os01g07480
1	3559732	3574280	LOC_Os01g07490
1	3577466	3581859	LOC_Os01g07500
1	3587608	3587838	LOC_Os01g07510
1	3591811	3596154	LOC_Os01g07520
1	3598418	3602211	LOC_Os01g07530
1	3610392	3615764	LOC_Os01g07540
1	3616498	3619216	LOC_Os01g07550
1	3621211	3625356	LOC_Os01g07560
1	3633275	3639164	LOC_Os01g07570
1	3645587	3650362	LOC_Os01g07590
1	3652273	3656479	LOC_Os01g07600
1	3661688	3664319	LOC_Os01g07610
1	3665042	3666046	LOC_Os01g07620
1	3667439	3673065	LOC_Os01g07630
1	3676303	3680660	LOC_Os01g07640
1	3682143	3682364	LOC_Os01g07650
1	3682943	3687407	LOC_Os01g07660
1	3689940	3692705	LOC_Os01g07670
1	3694855	3695301	LOC_Os01g07680
1	3696142	3699805	LOC_Os01g07700
1	3702448	3704723	LOC_Os01g07710
1	3705420	3709016	LOC_Os01g07720
1	3711212	3713653	LOC_Os01g07730
1	3720115	3723166	LOC_Os01g07750
1	3724314	3729284	LOC_Os01g07760
1	3732150	3733930	LOC_Os01g07770
1	3735829	3736828	LOC_Os01g07780
1	3737893	3740685	LOC_Os01g07790
1	3737903	3742067	LOC_Os01g07800
1	3742694	3744539	LOC_Os01g07810
1	3779634	3782004	LOC_Os01g07850
1	3804528	3811030	LOC_Os01g07870
1	3811149	3812069	LOC_Os01g07880
1	3818046	3818774	LOC_Os01g07890
1	3819067	3819782	LOC_Os01g07900
1	3820168	3824523	LOC_Os01g07910
1	3827039	3830347	LOC_Os01g07920
1	3830492	3831846	LOC_Os01g07930
1	3835129	3838211	LOC_Os01g07940
1	3842753	3845541	LOC_Os01g07950
1	3846181	3850245	LOC_Os01g07960
1	3855046	3856060	LOC_Os01g07970
1	3858824	3861839	LOC_Os01g07980
1	3870734	3874321	LOC_Os01g08000
1	3875761	3878459	LOC_Os01g08010
1	3878069	3900085	LOC_Os01g08020
1	3901384	3901836	LOC_Os01g08050
1	3917918	3920458	LOC_Os01g08090
1	3921356	3923134	LOC_Os01g08100
1	3924363	3926556	LOC_Os01g08110
1	3927450	3929447	LOC_Os01g08120
1	3932329	3933352	LOC_Os01g08130
1	3937749	3938912	LOC_Os01g08140
1	3939131	3942405	LOC_Os01g08150
1	3953039	3955491	LOC_Os01g08160
1	3958210	3962125	LOC_Os01g08170
1	3962465	3963568	LOC_Os01g08180
1	3975902	3984922	LOC_Os01g08190
1	3986612	3995398	LOC_Os01g08200
1	4003659	4004946	LOC_Os01g08220
1	4023146	4023442	LOC_Os01g08240
1	4033751	4037473	LOC_Os01g08260
1	4051856	4057690	LOC_Os01g08270
1	4059510	4063190	LOC_Os01g08280
1	4063704	4066374	LOC_Os01g08290
1	4066623	4067218	LOC_Os01g08300
1	4068617	4070372	LOC_Os01g08310
1	4073676	4076438	LOC_Os01g08320
1	4081316	4082680	LOC_Os01g08330
1	4091068	4094859	LOC_Os01g08340
1	4095856	4096249	LOC_Os01g08350
1	4099383	4101882	LOC_Os01g08360
1	4106828	4108541	LOC_Os01g08370
1	4110380	4112127	LOC_Os01g08380
1	4116451	4116943	LOC_Os01g08390
1	4118041	4122579	LOC_Os01g08400
1	4123420	4126379	LOC_Os01g08410
1	4133703	4140633	LOC_Os01g08420
1	4143351	4150414	LOC_Os01g08430
1	4152864	4154680	LOC_Os01g08440
1	4160946	4165165	LOC_Os01g08450
1	4167511	4171559	LOC_Os01g08460
1	4175051	4177259	LOC_Os01g08464
1	4196937	4198833	LOC_Os01g08490
1	4208553	4213302	LOC_Os01g08510
1	4215032	4217547	LOC_Os01g08520
1	4234514	4244531	LOC_Os01g08540
1	4245417	4249851	LOC_Os01g08550
1	4253838	4259626	LOC_Os01g08560
1	4264247	4270356	LOC_Os01g08570
1	4272797	4276333	LOC_Os01g08580
1	4278871	4279113	LOC_Os01g08590
1	4281714	4283625	LOC_Os01g08600
1	4284626	4288083	LOC_Os01g08610
1	4291014	4291325	LOC_Os01g08620
1	4297867	4302381	LOC_Os01g08630
1	4306882	4309963	LOC_Os01g08650
1	4313645	4315834	LOC_Os01g08660
1	4317974	4318780	LOC_Os01g08670
1	4322727	4326342	LOC_Os01g08680
1	4326578	4328863	LOC_Os01g08690
1	4329152	4338486	LOC_Os01g08700
1	4340849	4356468	LOC_Os01g08710
1	4368738	4369265	LOC_Os01g08740
1	4374129	4394083	LOC_Os01g08750
1	4395154	4397000	LOC_Os01g08760
1	4397652	4402081	LOC_Os01g08770
1	4402620	4407292	LOC_Os01g08780
1	4415416	4416132	LOC_Os01g08790
1	4417283	4419160	LOC_Os01g08800
1	4421318	4423107	LOC_Os01g08810
1	4423892	4426884	LOC_Os01g08814
1	4431532	4433679	LOC_Os01g08820
1	4434089	4437971	LOC_Os01g08830
1	4440901	4441368	LOC_Os01g08840
1	4444670	4448386	LOC_Os01g08850
1	4449032	4449876	LOC_Os01g08860
1	4453717	4454004	LOC_Os01g08870
1	4454755	4457084	LOC_Os01g08880
1	4459084	4484478	LOC_Os01g08890
1	4491056	4491481	LOC_Os01g08940
1	4493365	4495153	LOC_Os01g08950
1	4494598	4497627	LOC_Os01g08960
1	4497719	4504407	LOC_Os01g08970
1	4504620	4505211	LOC_Os01g08980
1	4509225	4513098	LOC_Os01g08990
1	4514298	4520613	LOC_Os01g09000
1	4527986	4532893	LOC_Os01g09010
1	4534021	4540216	LOC_Os01g09020
1	4542296	4546560	LOC_Os01g09030
1	4566304	4568617	LOC_Os01g09080
1	4571784	4572218	LOC_Os01g09090
1	4572448	4573409	LOC_Os01g09100
1	4581148	4584690	LOC_Os01g09120
1	4587086	4587835	LOC_Os01g09130
1	4590920	4591372	LOC_Os01g09140
1	4596060	4596812	LOC_Os01g09150
1	4614882	4615827	LOC_Os01g09190
1	4621677	4631365	LOC_Os01g09200
1	4650095	4651961	LOC_Os01g09230
1	4673400	4684865	LOC_Os01g09246
1	4688108	4693114	LOC_Os01g09252
1	4697314	4699792	LOC_Os01g09260
1	4713523	4713924	LOC_Os01g09270
1	4714468	4718746	LOC_Os01g09280
1	4726659	4731243	LOC_Os01g09300
1	4732052	4733048	LOC_Os01g09305
1	4734012	4737606	LOC_Os01g09310
1	4738905	4744591	LOC_Os01g09320
1	4747121	4748910	LOC_Os01g09330
1	4753606	4756578	LOC_Os01g09340
1	4758725	4758988	LOC_Os01g09350
1	4759946	4760712	LOC_Os01g09360
1	4761304	4767339	LOC_Os01g09370
1	4768735	4782706	LOC_Os01g09384
1	4791837	4795348	LOC_Os01g09410
1	4796155	4798479	LOC_Os01g09420
1	4800247	4802179	LOC_Os01g09430
1	4807985	4808500	LOC_Os01g09440
1	4816845	4818962	LOC_Os01g09450
1	4820104	4823129	LOC_Os01g09460
1	4826590	4828735	LOC_Os01g09470
1	4837004	4838215	LOC_Os01g09480
1	4849901	4852193	LOC_Os01g09500
1	4852430	4854566	LOC_Os01g09510
